Language,COUNT(*)
Dutch,5
English,60
Papiamento,2
Spanish,28
Balochi,4
Dari,1
Pashto,2
Turkmenian,3
Uzbek,6
Ambo,1
Chokwe,2
Kongo,3
Luchazi,1
Luimbe-nganguela,1
Luvale,1
Mbundu,1
Nyaneka-nkhumbi,1
Ovimbundu,1
Albaniana,4
Greek,5
Macedonian,4
Catalan,2
French,25
Portuguese,12
Arabic,33
Hindi,8
"Indian Languages",3
Italian,15
Armenian,5
Azerbaijani,5
Samoan,2
Tongan,2
"Creole English",14
"Canton Chinese",3
German,19
Serbo-Croatian,9
Vietnamese,4
Czech,2
Hungarian,8
Polish,10
Romanian,5
Slovene,4
Turkish,12
Lezgian,1
Russian,17
Kirundi,1
Swahili,2
Adja,1
Aizo,1
Bariba,1
Fon,1
Ful,12
Joruba,3
Somba,1
Busansi,1
Dagara,1
Dyula,1
Gurma,3
Mossi,2
Bengali,2
Chakma,1
Garo,1
Khasi,1
Marma,1
Santhali,1
Tripuri,1
Bulgariana,3
Romani,8
"Creole French",9
Belorussian,7
Ukrainian,12
Garifuna,2
"Maya Languages",1
Aimará,3
Guaraní,2
Ketšua,3
Japanese,4
Bajan,1
Chinese,19
Malay,6
Malay-English,1
Asami,2
Dzongkha,1
Nepali,2
Khoekhoe,1
Ndebele,3
San,2
Shona,3
Tswana,2
Banda,1
Gbaya,1
Mandjia,1
Mbum,1
Ngbaka,1
Sara,2
"Eskimo Languages",1
Punjabi,3
Romansh,1
Araucan,1
"Rapa nui",1
Dong,1
Hui,1
Mantšu,1
Miao,2
Mongolian,2
Puyi,1
Tibetan,1
Tujia,1
Uighur,1
Yi,1
Zhuang,1
[South]Mande,1
Akan,2
Gur,1
Kru,2
Malinke,6
Bamileke-bamum,1
Duala,1
Fang,3
Maka,1
Mandara,1
Masana,1
Tikar,1
Boa,1
Luba,1
Mongo,1
"Ngala and Bangi",1
Rundi,1
Rwanda,3
Teke,2
Zande,2
Mbete,2
Mboshi,1
Punu,1
Sango,1
Maori,2
Arawakan,2
Caribbean,2
Chibcha,2
Comorian,2
Comorian-Arabic,1
Comorian-French,1
Comorian-madagassi,1
Comorian-Swahili,1
Crioulo,3
Moravian,1
Silesiana,1
Slovak,4
"Southern Slavic Languages",2
Afar,2
Somali,3
Danish,4
Norwegian,4
Swedish,4
Berberi,3
Sinaberberi,1
Bilin,1
Hadareb,1
Saho,1
Tigre,1
Tigrinja,2
Basque,1
Galecian,1
Estonian,2
Finnish,3
Amhara,1
Gurage,1
Oromo,1
Sidamo,1
Walaita,1
Saame,2
Fijian,1
Faroese,1
Kosrean,1
Mortlock,1
Pohnpei,1
Trukese,1
Wolea,1
Yap,1
Mpongwe,1
Punu-sira-nzebi,1
Gaeli,1
Kymri,1
Abhyasi,1
Georgiana,1
Osseetti,1
Ewe,2
Ga-adangme,1
Kissi,1
